820.5,953.5
820.5,963.5
821.67,789.67
831,209.5
842.5,771.5
845.5,122.5
846.5,290.5
852,355.5
854.5,243.5
856,295
857,399.29
867.5,735
868,399
871.38,558.43
871,418
874,434.5
875,289
881.38,296.62
881.5,506.5
885.5,667
888.5,713.5
889.88,55.875
894,164
896,204
898,983
900.88,652.13
904,469.5
905.6,666.6
913,128
916.7,518.8
920.29,626.41
921,301
924,977
935.17,146.83
937,402.5
938,77
940.6,555.8
942.29,130
946.5,717.5
948.5,288.8
952,566.5
953.2,178.4
952.5,331.5
952.67,336.33
954.5,83
954,209
961.5,18
961,769
965.17,536.83
965.13,769.13
968.5,274.5
974.55,518.55
977.55,313.36
980,573.5
981,16
989.13,91.875
989,556
990.83,539.17
998.36,576.09
1002,266
1004,511
1013.4,355.09
1014.1,630.88
1015,70
1015,581
1017.5,586.5
1019.5,138.5
1022,230
1024,948.5
1034.9,536.13
1035.9,941.88
1036.3,1029.7
1045.7,463.67
1048.4,655.82
1047,917
1051.9,605.13
1055.5,1022
1058.5,208.5
1076.9,290.13
1078.5,464
1081,570.5
1082.3,44.333
1084,368
1086.6,114.91
1089.5,388
1095.1,331.88
1096.5,41
1098.9,16.875
1101,42.75
1100.3,299.33
1103.9,93.875
1105.6,21.615
1105.7,700.33
1106,893
1109.9,887.33
1111,34.5
1112.7,479.33
1115.5,562.5
1117.1,883.13
1116.5,915.5
1121.5,879
1122.8,871.17
1124,584
1129.3,346.43
1131.5,486.5
1134.5,43.5
1135.6,363.91
1135,433
1138.5,83.5
1138,174.5
1144.8,1006.8
1146.5,357
1153.7,340.33
1156.5,396
1161,95.5
1159.5,577
1160.7,386.33
1161.5,102.5
1161.6,448.8
1162.3,425.67
1164.6,627.8
1172.5,559.5
1173,105.5
1174.3,16.667
1174.6,383.8
1177.5,68
1178,589
1178.5,480.5
1178,762
1183,405
1182,436
1184.5,501.5
1190.8,27.222
1192.5,56.5
1193.5,474.5
1195.5,803
1198.5,833.5
1205.3,337.82
1205.5,23.8
1208,360.29
1212.6,23.4
1213,41.5
1212,463
1213.5,432.5
1214.5,61.5
1231,365.29
1235.4,327.91
1243,372.71
1247,946
1248.5,457.5
1250,286.5
1252,419
1253.9,743.88
1254,313
1257.5,54
1258.9,48.875
1267.2,58.833
1269.2,415.56
1273.9,281.88
1279,269.5
1284.8,368.5
1285.4,471.09
1292.2,251.69
1299.5,305
1300,362.5
1301.3,386.33
1303.5,825.5
1303.5,22.5
1306.9,368.67
1309.5,222.87
1312.1,2.125
1311.3,494.67
1313.8,260.83
1329.5,885.5
1334,55
1337.1,353.33
1336.3,883
1341.3,33.182
1342.1,143.07
1344.1,10.875
1346,941
1348.9,288.13
1350.1,246.88
1350.3,306.33
1352.1,800.88
1353.3,822.33
1354.5,651.5
1358.8,887.83
1359,222
1360.5,712.5
1360,744.5
1363,394.5
1366.7,613.67
1372.5,273
1380.5,95.5
1384.2,147.17
1385,213
1389,289.5
1391,955.5
1391.5,100
